,trial,ifChase,selectWolf,selectSheep,angleOfDivergence,masterRealForce,hideId,uniqueid
0,0,1,0.0,1.0,30,15.0,3,debug420QHZ:debugV6QKUH
1,1,0,,,0,7.5,3,debug420QHZ:debugV6QKUH
